STATE,count,mean,std,min,25%,50%,75%,max
NSW,53130.0,360.80417169207516,520.0091470568889,0.0,0.0,5.617,664.123,2541.959
QLD,53122.0,449.4899605813053,615.9853405603269,0.0,0.0,7.781000000000001,892.693,2565.377
SA,53131.0,183.8479162447535,268.6093638539937,0.0,0.0,1.578,328.324,1152.309
VIC,53131.0,262.12163573055176,390.32566214033835,0.0,0.0,2.414,452.1735,1865.325
