STATE,count,mean,std,min,25%,50%,75%,max
NSW,53130.0,7842.414756070051,1223.760095121655,5221.13,6959.6224999999995,7712.83,8529.885,13700.9
QLD,53122.0,6177.3938170626725,889.3619335758804,3748.24,5471.775,6057.045,6774.7225,9988.09
SA,53131.0,1270.3721100675657,334.5655827762021,284.51,1074.4050000000002,1242.54,1442.1399999999999,3107.74
VIC,53131.0,4844.165157629266,848.3048354441386,2307.07,4215.725,4735.06,5334.885,9507.26
