INTERVAL_DATETIME,REGIONID,POWER
2018-04-09,VIC1,720.02
2018-04-10,NSW1,682.923
2018-04-10,QLD1,1198.103
2018-04-10,SA1,493.241
2018-04-10,TAS1,62.817
2018-04-10,VIC1,442.688
2018-04-11,NSW1,860.399
2018-04-11,QLD1,1137.058
2018-04-11,SA1,498.633
2018-04-11,TAS1,32.832
2018-04-11,VIC1,591.588
2018-04-12,NSW1,862.741
2018-04-12,QLD1,891.64
2018-04-12,SA1,436.343
2018-04-12,TAS1,23.104
2018-04-12,VIC1,473.744
2018-04-13,NSW1,796.245
2018-04-13,QLD1,1092.481
2018-04-13,SA1,505.127
2018-04-13,TAS1,55.444
2018-04-13,VIC1,714.835
2018-04-14,NSW1,777.959
2018-04-14,QLD1,700.529
2018-04-14,SA1,267.308
2018-04-14,TAS1,36.121
2018-04-14,VIC1,372.565
2018-04-15,NSW1,719.189
2018-04-15,QLD1,1170.87
2018-04-15,SA1,256.005
2018-04-15,TAS1,71.435
2018-04-15,VIC1,268.437
2018-04-16,NSW1,794.356
2018-04-16,QLD1,1189.247
2018-04-16,SA1,251.046
2018-04-16,TAS1,69.09
2018-04-16,VIC1,404.272
2018-04-17,NSW1,649.974
2018-04-17,QLD1,1214.576
2018-04-17,SA1,507.301
2018-04-17,TAS1,59.173
2018-04-17,VIC1,519.937
2018-04-18,NSW1,582.783
2018-04-18,QLD1,641.948
2018-04-18,SA1,450.869
2018-04-18,TAS1,63.091
2018-04-18,VIC1,742.594
2018-04-19,NSW1,741.498
2018-04-19,QLD1,958.546
2018-04-19,SA1,487.759
2018-04-19,TAS1,54.508
2018-04-19,VIC1,680.708
2018-04-20,NSW1,786.182
2018-04-20,QLD1,964.571
2018-04-20,SA1,304.816
2018-04-20,TAS1,65.879
2018-04-20,VIC1,699.973
2018-04-21,NSW1,629.893
2018-04-21,QLD1,1042.296
2018-04-21,SA1,482.577
2018-04-21,TAS1,58.653
2018-04-21,VIC1,682.844
2018-04-22,NSW1,649.703
2018-04-22,QLD1,911.304
2018-04-22,SA1,476.759
2018-04-22,TAS1,63.674
2018-04-22,VIC1,687.965
2018-04-23,NSW1,756.888
