I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLD1,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDC,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDN,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",QLDS,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",SA1,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TAS1,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TASN,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",TASS,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:00:00",VIC1,0,0.6,SATELLITE,"2022/02/19 22:20:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",NSW1,0,0.6,SATELLITE,"2022/02/19 22:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",QLD1,0,0.6,SATELLITE,"2022/02/19 22:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",QLDC,0,0.6,SATELLITE,"2022/02/19 22:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",QLDN,0,0.6,SATELLITE,"2022/02/19 22:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",QLDS,0,0.6,SATELLITE,"2022/02/19 22:50:25"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",SA1,0,0.6,SATELLITE,"2022/02/19 22:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",TAS1,0,0.6,SATELLITE,"2022/02/19 22:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",TASN,0,0.6,SATELLITE,"2022/02/19 22:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",TASS,0,0.6,SATELLITE,"2022/02/19 22:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/19 22:30:00",VIC1,0,0.6,SATELLITE,"2022/02/19 22:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",NSW1,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLD1,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDC,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDN,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",QLDS,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",SA1,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TAS1,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TASN,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",TASS,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:00:00",VIC1,0,0.6,SATELLITE,"2022/02/20 03:20:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",NSW1,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLD1,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDC,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDN,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",QLDS,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",SA1,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TAS1,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TASN,0,0.6,SATELLITE,"2022/02/20 03:50:26"
D,ROOFTOP,ACTUAL,2,"2022/02/20 03:30:00",TASS,0,0.6,SATELLITE,"2022/02/20 03:50:26"
